,Name,Address,Multiflex_no,Traffic,Search_Word,Feeding(유아휴게실),Stroller,Revenue,Store
1,스타필드 하남,,,,"하남 워터파크, 경기도 실내수영장, 스타필드 아쿠아, 스타필드 하남 맛집, 하남 스타필드 아쿠아필드 시간, 하남 수영장, 하남 아쿠아필드 수건, 하남 아쿠아필드 주차, 스타필드 워터파크, 경기도 호텔 수영장, 하남 스타필드 아쿠아필드, 하남 스타필드 메가박스, 하남 스타필드 찜질방, 하남 스타필드 스포츠몬스터, 하남 스타필드 키즈까페, 하남 신세계백화점, 하남, 아쿠아필드 가격, 하남 아쿠아필드 수건, 하남 스타필드 주차",1,1,,
2,스타필드 코엑스,,,,"코엑스 놀거리, 코엑스 맛집, 코엑스 아쿠아리움, 코엑스 삐에로쇼핑, 킨텍스, 코엑스 스타필드, 코엑스 코믹콘, 코엑스 대학박람회, 코엑스 별마당 도서관, 코엑스 지하철역  , 부산 코엑스, 스타필드 코엑스몰 맛집, 스타필드 코엑스몰 주차, 스타필드, 코엑스 스타필드 주차장, 서울 별마당도서관, 코엑스 라에스키모, 코엑스몰, 코엑스 별마당도서관 주차장, 서울 스타필드, 코엑스 카페, 서울 코엑스, 스타필드 코엑스 맛집, 서울 별마당도서관, 코엑스 별마당도서관 주차장, 스타필드 코엑스 주차, 코엑스, 코엑스 스타필드 맛집, 스타필드 삼성, 코엑스 매장, 서울 별마당도서관, 서울 코엑스몰",2,2,,
3,테크노마트 강변,,,,"강변 테크노마트 맛집, 강변 테크노마트 휴무, 신도림세상, 강변테크노마트 가구혼수백화점, 강변 테크노마트 주차, 테크노마트, 강변 테크노마트 cgv, 강변 테크노마트 노트북, 강변 테크노마트 영업시간, 강변 테크노마트 아이폰8 , 강변 테크노마트 핸드폰",2,1,,
4,아이파크몰 용산,,,,"용산 아이파크몰 올리브영, 용산 쇼핑몰, 용산 아이파크 맛집, 용산 애니메이트, 용산 아이파크몰 키친미미미, 서울 짱구, 짱구스토어, 용산 짱구, 용산 아이파크몰, 용산 짱구스토어, 용산 아이파크몰 맛집, 용산 아이파크몰 짱구, 용산 아이파크몰 주차, 메밀공방 메뉴, 용산 아이파크몰 카페, 용산 아이파크, 용산cgv, 용산 아이파크몰 전시, 아이파크몰, 용산 아이파크몰 cgv",0,1,,
5,가든파이브,,,,"가든파이브 99안경할인점, 가든5 찜질방, 송파 스파인가든파이브, 현대아울렛 가든파이브, 가든파이브 현대시티몰, 가든파이브 찜질방, 서울 가든파이브, 가든파이브 워터파크, 서울 스파인가든파이브, 코코몽 키즈랜드, 장지동 현대시티몰, 더 스파 인 가든파이브, 가든파이브 물놀이장, 송파 찜질방, 가든5 찜질방, 서울 가든파이브, 송파 스파인가든파이브, 현대아울렛 가든파이브, 가든파이브 찜질방 주차, 서울 스파인가든파이브, 현대시티아울렛 가든파이브",2,1,,
6,타임스퀘어,,,,"영등포 타임스퀘어 호텔, 영등포 타임스퀘어, 영등포 키즈앤키즈, 타임스퀘어 맛집, 뉴욕 타임스퀘어, 영등포 타임스퀘어 맛집, 코트야드 메리어트 영등포, 타임스퀘어 메리어트, 코트야드 메리어트 호텔, 미국 타임스퀘어, 영등포 타임스퀘어 cgv, 영등포 신세계백화점, 영등포 타임스퀘어 데이트, 타임스퀘어, 영등포 맛집, 영등포 타임스퀘어 버터핑거, 영등포 cgv, 영등포 타임스퀘어 가는법, 영등포 타임스퀘어 카페, 영등포 롯데백화점",1,2,,
7,디큐브시티,,,,"디큐브 피스트, 라그릴리아 신도림, 디큐브시티 아파트, 신도림 디큐브시티, 쉐라톤 디큐브시티 뷔페, 삿뽀로 일식, 신도림 디큐브시티 맥주, 디큐브아트센터, 쉐라톤 디큐브시티 피스트, 디큐브시티 뮤지컬, 신도림 디큐브시티 맛집, 신도림 디큐브시티 영화관, 신도림 디큐브시티 키즈카페, 신도림 테크노마트, 신도림 맛집, 신도림 디큐브시티 뮤지컬, 신도림 디큐브시티 출구, 신도림 롯데시네마, 영등포 타임스퀘어, 신도림 디큐브아트센터",1,1,,
8,롯데몰 김포,,,,"김포공항 롯데아울렛, 롯데마트 김포공항점, 김포 롯데몰 토끼정, 김포공항 롯데몰 롯데시네마, 김포공항 롯데마트, 김포공항 롯데백화점, 실내 쇼핑몰, 롯데아울렛 용인, 실내서핑, 실내서핑장, 용인 쇼핑몰, 플로우하우스, 일산 플로우하우스, 대형쇼핑몰, 일산 만화카페, 롯데몰 김포공항 맛집  , 김포공항 롯데몰 맛집, 김포공항 롯데시네마, 롯데몰 토끼정, 딘타이펑 추천메뉴, 김포공항 롯데몰 주차요금, 토끼정 김포공항, 김포공항 롯데몰 물놀이, 김포공항 롯데몰 휴무, 김포공항 롯데몰 키즈카페, 김포공항 맛집  , 김포공항 롯데몰 토끼정, 김포 롯데몰 맛집, 김포공항에서 롯데몰, 김포 롯데백화점, 김포 롯데몰 키즈카페, 김포 롯데시네마, 온더보더 메뉴, 김포공항 롯데몰 레고, 김포 롯데몰 물놀이, 김포 현대프리미엄아울렛",2,1,,
9,롯데몰 은평,,,,"롯데시네아, 은평 롯데몰 롯데시네마, 롯데키즈파크, 은평 롯데몰 주차, 롯데시네마 구파발, 은평 롯데몰 언더씨킹덤, 진관동, 은평 롯데몰 키즈파크, 올곧은치과 은평롯데몰, 은평 롯데마트, 구파발역 롯데몰, 롯데시네마 은평, 롯데시네마 은평몰, 은평 롯데몰 주차, 롯데몰 은평 맛집, 은평구 롯데몰, 롯데몰 피에프창, 은평 롯데몰 수영장, 롯데몰 은평 롯데시네마, 은평 롯데몰 피에프창",0,1,,
10,IFC몰,,,,"서울 ifc몰, ifc몰 맛집, 여의도 IFC몰, ifc몰 주차, 여의도 ifc몰 맛집, 콘래드 서울 라운지, 여의도 나폴레옹, 홍콩 ifc몰, 한강 물빛광장, ifc몰 cgv, ifc몰, ifc몰 맛집, 여의도 IFC몰 주차, 서울 ifc몰, 여의도 맛집, 여의도 IFC몰 카페, 여의도 cgv, 여의도 IFC몰 지하철, 여의도 IFC몰 식당, 영등포 타임스퀘어, ifc몰, 여의도 ifc",1,1,,